ime,letnik,kilometrina,motor,menjalnik,cena,cas
Volkswagen Passat,2008,273000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",avtomatski menjalnik,3650€,"(7, 11)"

Mercedes-Benz Viano,2006,189115 km,"diesel motor, 2148 ccm, 110 kW  / 150 KM",avtomatski menjalnik,13100€,"(7, 11)"

Renault Clio,2007,185000 km,"bencinski motor, 1149 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1950€,"(7, 11)"

Volkswagen Beetle,2005,271250 km,"diesel motor, 1896 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),3580€,"(7, 11)"

Volvo V40,2016,3780 km,"diesel motor, 1969 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),22550€,"(7, 11)"

Opel Zafira,2008,225000 km,"diesel motor, 1910 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),3800€,"(7, 11)"

Volkswagen Passat,2008,270000 km,"diesel motor, 1896 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),3500€,"(7, 11)"

Opel Astra,2008,127556 km,"bencinski motor, 1598 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),3850€,"(7, 11)"

Peugeot 307,2005,256000 km,"diesel motor, 1560 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),1900€,"(7, 11)"

Volkswagen Passat,2014,184792 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),11490€,"(7, 11)"

Peugeot 207,2009,130300 km,"bencinski motor, 1397 ccm, 70 kW  / 95 KM",ročni menjalnik (5 pr.),3980€,"(7, 11)"

Seat Ibiza,2003,362000 km,"diesel motor, 1896 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),1100€,"(7, 11)"

Renault Laguna,2005,330000 km,"diesel motor, 1870 ccm, 85 kW  / 116 KM",ročni menjalnik (6 pr.),699€,"(7, 11)"

Volkswagen Multivan,2016,43606 km,"diesel motor, 1968 ccm, 150 kW  / 205 KM",avtomatski menjalnik,41990€,"(7, 11)"

Renault Clio,2010,210000 km,"diesel motor, 1461 ccm, 63 kW  / 86 KM",ročni menjalnik (5 pr.),3400€,"(7, 11)"

Peugeot 407,2004,284277 km,"diesel motor, 1997 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),2050€,"(7, 11)"

Volkswagen Golf,2014,171000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),8750€,"(7, 11)"

Nissan Micra,2004,190000 km,"diesel motor, 1498 ccm, 60 kW  / 82 KM",ročni menjalnik (5 pr.),1150€,"(7, 11)"

Mitsubishi L 200,2006,272000 km,"diesel motor, 2498 ccm, 100 kW  / 136 KM",ročni menjalnik (5 pr.),8900€,"(7, 11)"

BMW Serija 5,2012,294000 km,"diesel motor, 1995 ccm, 135 kW  / 184 KM",avtomatski menjalnik,16999€,"(7, 11)"

Volkswagen Passat,2015,175396 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),14650€,"(7, 11)"

Renault Megane,2006,248000 km,"diesel motor, 1461 ccm, 78 kW  / 106 KM",ročni menjalnik (6 pr.),690€,"(7, 11)"

Kia Cerato,2006,250000 km,"diesel motor, 1582 ccm, 84 kW  / 115 KM",ročni menjalnik (5 pr.),1150€,"(7, 11)"

Volkswagen Touran,2013,161000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (6 pr.),10390€,"(7, 11)"

Audi A6,2007,248600 km,"diesel motor, 2698 ccm, 132 kW  / 180 KM",ročni menjalnik (6 pr.),8200€,"(7, 11)"

Ford Mondeo,2000,250000 km,"diesel motor, 1800 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),150€,"(7, 11)"

Opel Insignia,2010,209000 km,"diesel motor, 1956 ccm, 118 kW  / 161 KM",ročni menjalnik (6 pr.),6999€,"(7, 11)"

Volkswagen Golf,2014,171388 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),9990€,"(7, 11)"

Mazda Mazda3,2010,130600 km,"diesel motor, 1560 ccm, 85 kW  / 116 KM",ročni menjalnik (6 pr.),6900€,"(7, 11)"

Mercedes-Benz E-Razred,2005,379000 km,"diesel motor, 2148 ccm, 110 kW  / 150 KM",avtomatski menjalnik,4600€,"(7, 11)"

Audi Allroad,2012,193000 km,"diesel motor, 2967 ccm, 180 kW  / 245 KM",avtomatski menjalnik,22000€,"(7, 11)"

Fiat Bravo,2008,176000 km,"diesel motor, 1910 ccm, 88 kW  / 120 KM",ročni menjalnik (5 pr.),3690€,"(7, 11)"

Kia Sorento,2010,121700 km,"diesel motor, 2199 ccm, 145 kW  / 198 KM",ročni menjalnik (6 pr.),13780€,"(7, 11)"

BMW Serija 3,2015,111904 km,"diesel motor, 1995 ccm, 135 kW  / 184 KM",ročni menjalnik (6 pr.),20480€,"(7, 11)"

Peugeot 206,2003,142000 km,"bencinski motor, 1360 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1450€,"(7, 11)"

Škoda Roomster,2014,145485 km,"diesel motor, 1598 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),7990€,"(7, 11)"

Citroen C3,2012,120000 km,"diesel motor, 1398 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),5750€,"(7, 11)"

Renault Clio,2001,185 km,"bencinski motor, 49 kW  / 67 KM",ročni menjalnik (5 pr.),250€,"(7, 11)"

Seat Altea,2013,41300 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),9900€,"(7, 11)"

Peugeot 107,2007,197000 km,"bencinski motor, 998 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),2390€,"(7, 11)"

Renault Megane,2007,220000 km,"diesel motor, 1870 ccm, 96 kW  / 131 KM",ročni menjalnik (6 pr.),790€,"(7, 11)"

Volvo XC70,2008,320000 km,"diesel motor, 120 kW  / 164 KM",ročni menjalnik (6 pr.),3600€,"(7, 11)"

Toyota Verso,2014,94300 km,"diesel motor, 1598 ccm, 82 kW  / 112 KM",ročni menjalnik (6 pr.),11999€,"(7, 11)"

Honda CR-V,1997,266385 km,"bencinski motor, 1973 ccm, 96 kW  / 131 KM",avtomatski menjalnik,1500€,"(7, 11)"

Hyundai Coupe,1999,271000 km,"bencinski motor, 1599 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),370€,"(7, 11)"

Volkswagen Passat,2015,171942 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),14250€,"(7, 11)"

Renault Clio,2015,59000 km,"bencinski motor, 1149 ccm, 54 kW  / 74 KM",ročni menjalnik (5 pr.),7690€,"(7, 11)"

Renault Megane,2013,93549 km,"diesel motor, 1461 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),7490€,"(7, 11)"

Ford S-Max,2008,254350 km,"bencinski motor, 1999 ccm, 107 kW  / 146 KM",ročni menjalnik (5 pr.),5490€,"(7, 11)"

Škoda Octavia,2015,141597 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),12999€,"(7, 11)"

