znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Renault,Megane,2017,30345,diesel motor,1461,ročni menjalnik,13690,"(23, 1)"
Renault,Clio,2014,68653,diesel motor,1461,ročni menjalnik,6690,"(23, 1)"
Volkswagen,Passat,2010,233000,diesel motor,1968,ročni menjalnik,6800,"(23, 1)"
Škoda,Octavia,2014,162259,diesel motor,1968,ročni menjalnik,13000,"(23, 1)"
Citroen,C3,2005,162650,diesel motor,1560,ročni menjalnik,2980,"(23, 1)"
Renault,Scenic,2009,70067,bencinski motor,1598,ročni menjalnik,4400,"(23, 1)"
Seat,Leon,2005,236000,diesel motor,1896,ročni menjalnik,970,"(23, 1)"
BMW,Serija X6,2009,239765,bencinski motor,4395,avtomatski menjalnik,17800,"(23, 1)"
Volvo,V40,2016,23808,diesel motor,1969,ročni menjalnik,19500,"(23, 1)"
Mercedes-Benz,E-Razred,2013,157490,diesel motor,2143,avtomatski menjalnik,22790,"(23, 1)"
Volkswagen,Tiguan,2009,196000,diesel motor,1968,ročni menjalnik,8200,"(23, 1)"
Audi,A5,2012,183528,diesel motor,1968,ročni menjalnik,18799,"(23, 1)"
Peugeot,206,2000,178000,bencinski motor,1360,ročni menjalnik,650,"(23, 1)"
Citroen,Xantia,1994,215000,bencinski motor,1761,ročni menjalnik,160,"(23, 1)"
Volkswagen,Jetta,2011,166000,diesel motor,1598,ročni menjalnik,8590,"(23, 1)"
Hyundai,ix35,2011,110000,bencinski motor,1591,ročni menjalnik,9600,"(23, 1)"
Volkswagen,Passat,2015,142888,diesel motor,1968,ročni menjalnik,17490,"(23, 1)"
Škoda,Superb,2010,279000,diesel motor,1968,ročni menjalnik,7290,"(23, 1)"
Citroen,Xsara,2002,404000,diesel motor,1997,ročni menjalnik,550,"(23, 1)"
Renault,Clio,2011,67000,bencinski motor,1149,ročni menjalnik,3950,"(23, 1)"
Peugeot,308,2011,76000,diesel motor,1560,ročni menjalnik,5490,"(23, 1)"
Mini,-,2012,63000,bencinski motor,1598,ročni menjalnik,8990,"(23, 1)"
Mercedes-Benz,E-Razred,2004,255000,diesel motor,2148,avtomatski menjalnik,4400,"(23, 1)"
Volkswagen,Passat,2004,272756,diesel motor,1896,ročni menjalnik,3490,"(23, 1)"
Peugeot,3008,2014,147000,diesel motor,1560,ročni menjalnik,10390,"(23, 1)"
Hyundai,i30,2016,100314,diesel motor,1582,ročni menjalnik,11790,"(23, 1)"
Mini,Clubman,2009,202000,diesel motor,1560,ročni menjalnik,5500,"(23, 1)"
Opel,Astra,2007,267173,diesel motor,1686,ročni menjalnik,2590,"(23, 1)"
Citroen,Xsara,2004,260000,diesel motor,1997,ročni menjalnik,1699,"(23, 1)"
Citroen,C4,2009,240000,diesel motor,1560,avtomatski menjalnik,3790,"(23, 1)"
Renault,Kangoo,2012,178186,diesel motor,1461,ročni menjalnik,6850,"(23, 1)"
Volkswagen,Fox,2005,125000,bencinski motor,1198,ročni menjalnik,1280,"(23, 1)"
Hyundai,H-1,2006,178000,diesel motor,2476,ročni menjalnik,2900,"(23, 1)"
Kia,Carens,2014,124000,bencinski motor,1591,ročni menjalnik,9700,"(23, 1)"
Volvo,V70,2008,280000,diesel motor,1997,ročni menjalnik,5800,"(23, 1)"
Nissan,Qashqai,2014,132243,diesel motor,1598,ročni menjalnik,13890,"(23, 1)"
Volkswagen,Golf,2015,149000,diesel motor,1598,ročni menjalnik,10490,"(23, 1)"
BMW,Serija 1,2013,165474,diesel motor,1995,ročni menjalnik,13450,"(23, 1)"
